time,open,high,low,close,volume
2018-01-01 22:00:00,1.20071,1.20174,1.20044,1.20152,338
2018-01-01 23:00:00,1.20148,1.20162,1.20019,1.20108,2917
2018-01-02 00:00:00,1.20105,1.2017799999999998,1.2009,1.20162,804
2018-01-02 01:00:00,1.20168,1.20236,1.20143,1.20156,1208
2018-01-02 02:00:00,1.2016,1.20166,1.20079,1.20096,766
2018-01-02 03:00:00,1.2009999999999998,1.20212,1.20095,1.2012,683
2018-01-02 04:00:00,1.20126,1.20196,1.20116,1.20175,497
2018-01-02 05:00:00,1.2018,1.20245,1.2016,1.20245,427
2018-01-02 06:00:00,1.20245,1.20307,1.20226,1.20288,659
2018-01-02 07:00:00,1.20284,1.20382,1.20242,1.2036,2185
2018-01-02 08:00:00,1.20365,1.20475,1.2032200000000002,1.2045,1853
2018-01-02 09:00:00,1.20452,1.20706,1.20419,1.20706,1797
2018-01-02 10:00:00,1.2070299999999998,1.20812,1.20617,1.20686,2419
2018-01-02 11:00:00,1.20689,1.20708,1.20592,1.20594,1511
2018-01-02 12:00:00,1.20592,1.20686,1.2057,1.2063,1805
2018-01-02 13:00:00,1.20634,1.20666,1.20564,1.20576,1925
2018-01-02 14:00:00,1.20571,1.2059,1.20353,1.2039,2672
2018-01-02 15:00:00,1.20394,1.2046,1.20266,1.20444,3186
2018-01-02 16:00:00,1.20443,1.2059,1.20434,1.20492,3120
2018-01-02 17:00:00,1.20495,1.20538,1.2041,1.20446,1716
2018-01-02 18:00:00,1.2044,1.20496,1.20418,1.20442,837
2018-01-02 19:00:00,1.20442,1.20538,1.20432,1.2053200000000002,664
2018-01-02 20:00:00,1.2053200000000002,1.20606,1.20518,1.20593,676
2018-01-02 21:00:00,1.2059799999999998,1.20656,1.20548,1.2058,965
2018-01-02 22:00:00,1.2059,1.2059,1.20549,1.20574,239
2018-01-02 23:00:00,1.20576,1.20666,1.20569,1.20618,540
2018-01-03 00:00:00,1.20624,1.2064,1.20491,1.20594,1008
2018-01-03 01:00:00,1.20589,1.20636,1.2044700000000002,1.2053200000000002,981
2018-01-03 02:00:00,1.20527,1.20533,1.2042,1.20425,692
2018-01-03 03:00:00,1.20428,1.20479,1.20418,1.20469,287
2018-01-03 04:00:00,1.20474,1.20538,1.20464,1.20509,351
